Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,158.61,111.44,4.963,-0.34335,2.390e-2,0.0382,0.0096,5351.111,2.100e-4,2.100e-4,2.100e-4,0_1:7.808e-3,0_1:277.333
Q1,148.93,71.72,4.838,-0.34621,6.250e-2,0.099,0.026,5351.111,4.227e-4,4.227e-4,4.227e-4,1_2:2.044e-2; 1_0:7.808e-3,1_2:469.333; 1_0:312.889
Q2,79.82,21.33,5.037,-0.34366,3.190e-2,0.0364,0.0274,5351.111,6.387e-4,6.387e-4,6.387e-4,2_3:1.426e-2; 2_1:2.044e-2,2_3:355.556; 2_1:504.889
Q3,148.46,53.36,4.951,-0.34355,2.300e-2,0.0338,0.0122,5351.111,2.019e-4,2.019e-4,2.019e-4,3_4:6.181e-3; 3_2:1.426e-2,3_4:334.222; 3_2:391.111
Q4,140.25,42.51,5.066,-0.34211,2.040e-2,0.0348,0.006,5351.111,4.091e-4,4.091e-4,4.091e-4,4_3:6.181e-3,4_3:298.667
