Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,91.99,155.84,5.03,-0.33574,2.250e-2,0.038,0.007,5351.111,2.283e-4,2.283e-4,2.283e-4,0_1:5.211e-3,0_1:305.778
Q1,79.82,140.43,5.128,-0.31835,1.560e-2,0.0248,0.0064,5351.111,2.207e-4,2.207e-4,2.207e-4,1_0:5.211e-3; 1_3:1.807e-2; 1_2:5.838e-3,1_0:341.333; 1_3:497.778; 1_2:334.222
Q2,134.67,170.21,5.247,-0.3336,2.080e-2,0.0326,0.009,5351.111,2.572e-4,2.572e-4,2.572e-4,2_1:5.838e-3,2_1:298.667
Q3,103.46,101.58,5.302,-0.33124,2.700e-2,0.0346,0.0194,5351.111,3.803e-4,3.803e-4,3.803e-4,3_4:1.758e-2; 3_1:1.807e-2,3_4:519.111; 3_1:462.222
Q4,25.02,24.98,5.092,-0.33447,4.680e-2,0.0736,0.02,5351.111,6.218e-4,6.218e-4,6.218e-4,4_3:1.758e-2,4_3:483.556
