Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,178.72,208.53,5.03,-0.33574,2.040e-2,0.0346,0.0062,5351.111,1.905e-4,1.905e-4,1.905e-4,0_1:6.261e-3,0_1:305.778
Q1,118.59,150.56,5.128,-0.31835,3.830e-2,0.0644,0.0122,5351.111,2.882e-4,2.882e-4,2.882e-4,1_0:6.261e-3; 1_3:1.526e-2; 1_2:6.236e-3,1_0:341.333; 1_3:497.778; 1_2:334.222
Q2,103.87,171.01,5.247,-0.3336,1.840e-2,0.0292,0.0076,5351.111,1.938e-4,1.938e-4,1.938e-4,2_1:6.236e-3,2_1:298.667
Q3,75.06,90.19,5.302,-0.33124,2.740e-2,0.039,0.0158,5351.111,3.398e-4,3.398e-4,3.398e-4,3_4:1.740e-2; 3_1:1.526e-2,3_4:519.111; 3_1:462.222
Q4,23.3,26.03,5.092,-0.33447,4.830e-2,0.078,0.0186,5351.111,6.336e-4,6.336e-4,6.336e-4,4_3:1.740e-2,4_3:483.556
