Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,94.84,23.78,5.09,-0.33612,5.440e-2,0.0884,0.0204,5351.111,5.230e-4,5.230e-4,5.230e-4,0_1:1.928e-2,0_1:810.667
Q1,78.34,129.89,5.246,-0.31657,2.070e-2,0.0322,0.0092,5351.111,4.113e-4,4.113e-4,4.113e-4,1_3:1.089e-2; 1_2:7.567e-3; 1_0:1.928e-2,1_3:433.778; 1_2:448; 1_0:775.111
Q2,96.3,69.49,5.361,-0.33063,1.900e-2,0.0272,0.0108,5351.111,2.969e-4,2.969e-4,2.969e-4,2_1:7.567e-3,2_1:412.444
Q3,107.8,161.14,5.17,-0.33374,1.920e-2,0.0276,0.0108,5351.111,2.832e-4,2.832e-4,2.832e-4,3_4:1.012e-2; 3_1:1.089e-2,3_4:590.222; 3_1:398.222
Q4,151.49,149.07,5.258,-0.33135,1.920e-2,0.0268,0.0116,5351.111,4.876e-4,4.876e-4,4.876e-4,4_3:1.012e-2,4_3:554.667
