Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,74.78,14.09,5.09,-0.33612,5.140e-2,0.0834,0.0194,5351.111,4.939e-4,4.939e-4,4.939e-4,0_1:2.063e-2,0_1:810.667
Q1,102.54,91.71,5.246,-0.31657,1.650e-2,0.025,0.008,5351.111,5.005e-4,5.005e-4,5.005e-4,1_3:9.592e-3; 1_2:1.016e-2; 1_0:2.063e-2,1_3:433.778; 1_2:448; 1_0:775.111
Q2,87.71,66.77,5.361,-0.33063,1.840e-2,0.0284,0.0084,5351.111,2.518e-4,2.518e-4,2.518e-4,2_1:1.016e-2,2_1:412.444
Q3,101.43,151.68,5.17,-0.33374,1.470e-2,0.0252,0.0042,5351.111,2.635e-4,2.635e-4,2.635e-4,3_4:1.023e-2; 3_1:9.592e-3,3_4:590.222; 3_1:398.222
Q4,91.39,161.31,5.258,-0.33135,1.740e-2,0.0294,0.0054,5351.111,4.648e-4,4.648e-4,4.648e-4,4_3:1.023e-2,4_3:554.667
