Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,60.09,14.09,5.09,-0.33612,8.730e-2,0.1454,0.0292,5351.111,6.390e-4,6.390e-4,6.390e-4,0_1:2.589e-2,0_1:810.667
Q1,117.5,127.23,5.246,-0.31657,4.400e-2,0.0746,0.0134,5351.111,4.719e-4,4.719e-4,4.719e-4,1_3:1.277e-2; 1_2:1.042e-2; 1_0:2.589e-2,1_3:433.778; 1_2:448; 1_0:775.111
Q2,98.45,68.75,5.361,-0.33063,1.920e-2,0.028,0.0104,5351.111,2.853e-4,2.853e-4,2.853e-4,2_1:1.042e-2,2_1:412.444
Q3,93.95,113.87,5.17,-0.33374,2.600e-2,0.0452,0.0068,5351.111,2.964e-4,2.964e-4,2.964e-4,3_4:1.054e-2; 3_1:1.277e-2,3_4:590.222; 3_1:398.222
Q4,78.15,83.92,5.258,-0.33135,1.980e-2,0.032,0.0076,5351.111,5.421e-4,5.421e-4,5.421e-4,4_3:1.054e-2,4_3:554.667
