Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,101.42,157.67,5,-0.33689,1.820e-2,0.0278,0.0086,5048.889,2.364e-4,2.364e-4,2.364e-4,0_1:7.296e-3,0_1:689.778
Q1,111.14,35.4,4.85,-0.32571,4.320e-2,0.0558,0.0306,5048.889,1.834e-4,1.834e-4,1.834e-4,1_2:7.709e-3; 1_0:7.296e-3,1_2:298.667; 1_0:654.222
Q2,113.1,194.23,4.783,-0.34287,1.510e-2,0.0252,0.005,5048.889,2.798e-4,2.798e-4,2.798e-4,2_3:1.599e-2; 2_1:7.709e-3,2_3:341.333; 2_1:334.222
Q3,108.86,171.58,4.858,-0.32528,1.630e-2,0.0272,0.0054,5048.889,2.733e-4,2.733e-4,2.733e-4,3_4:6.762e-3; 3_2:1.599e-2,3_4:369.778; 3_2:305.778
Q4,76.33,157.53,4.978,-0.33796,1.680e-2,0.0256,0.008,5048.889,1.688e-4,1.688e-4,1.688e-4,4_3:6.762e-3,4_3:334.222
